#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_gene	log_gene	comp731_c1	-7.0055364838849	-2.29713940484964	0.0064474932496381	0.0385007454049818
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_gene	hs_gene	comp1001_c0	-28.2397663792104	-43.5525757292069	9.47510416380966e-06	0.00198029677023622
ds_gene	hs_gene	comp1036_c0	-9.11052828548959	-5.38871097132194	5.68506249828575e-05	0.00403466427289457
ds_gene	hs_gene	comp889_c2	-28.4314306989862	-43.1692470896554	5.79138412377211e-05	0.00403466427289457
ds_gene	hs_gene	comp616_c0	-6.17993479277626	-3.07497227424793	8.92773473788853e-05	0.00466474140054675
ds_gene	hs_gene	comp722_c1	-7.98289975786855	-3.64396802656402	0.000211308443188638	0.00883269292528508
ds_gene	hs_gene	comp744_c1	-8.92666239323934	-3.75644275582243	0.000797166991154514	0.0277679835252156
ds_gene	hs_gene	comp989_c2	-28.8429918179441	-42.3461248517395	0.00140897293288839	0.0420679061390964
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
ds_gene	plat_gene	comp710_c0	-27.9962953842076	-44.0395177192124	2.45053893477523e-06	0.000460701319737744
ds_gene	plat_gene	comp1069_c0	-7.35740347423617	3.57811610361515	0.000112864951058952	0.0106093053995415
ds_gene	plat_gene	comp614_c0	-28.5812578849288	-42.8695927177701	0.000530404868558373	0.0332387050963247
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
log_gene	hs_gene	comp1061_c0	-7.96268818041792	-7.46987446832221	2.14236499124968e-10	4.15618808302438e-08
log_gene	hs_gene	comp1062_c0	-8.45792679335867	-6.47939724244072	8.69249575218671e-08	8.43172087962111e-06
log_gene	hs_gene	comp941_c0	-6.24215050032774	-4.26709363872785	3.98719289319324e-07	2.57838473759829e-05
log_gene	hs_gene	comp604_c0	-28.0113891553792	-44.0093301768693	8.75701578622086e-07	4.24715265631712e-05
log_gene	hs_gene	comp992_c0	-8.71793032279886	-5.95939018356033	1.62638744344548e-06	6.31038328056845e-05
log_gene	hs_gene	comp1038_c0	-28.2189079050186	-43.5942926775904	7.72045524458559e-06	0.000249628052908267
log_gene	hs_gene	comp731_c1	-6.43228654088682	-3.3607527459421	4.43219164525475e-05	0.0012283502559706
log_gene	hs_gene	comp1022_c0	-28.4531623681676	43.1257837512924	5.79138412377211e-05	0.00140441065001474
log_gene	hs_gene	comp708_c0	-7.65914552460827	-3.43310359016678	0.000168570590264378	0.00363363272347659
log_gene	hs_gene	comp963_c0	-9.23167069100991	-4.93190944713823	0.000243816735867594	0.00473004467583132
log_gene	hs_gene	comp1041_c0	-28.6171412079761	-42.7978260716756	0.000290613193839001	0.00512535996406966
log_gene	hs_gene	comp980_c0	-28.6973735440727	-42.6373613994823	0.000530404868558373	0.00857487870836037
log_gene	hs_gene	comp574_c0	-6.95555783385534	-2.84027897167266	0.000720674168595307	0.0107546760544223
log_gene	hs_gene	comp731_c0	-28.8374275036691	-42.3572534802896	0.00140897293288839	0.019524339212882
log_gene	hs_gene	comp1070_c0	-6.51853831365887	2.49435530756387	0.00171102205274912	0.0211421098517874
log_gene	hs_gene	comp715_c0	-9.45792679335867	-4.47939724244072	0.00174367916303401	0.0211421098517874
log_gene	hs_gene	comp989_c2	-28.9033945313922	42.2253194248433	0.00199604498825856	0.0227783957483624
log_gene	hs_gene	comp1081_c0	-6.56380374380372	-2.45386215033358	0.00235859022844819	0.0254203613510527
log_gene	hs_gene	comp1089_c0	-28.9486237143373	-42.1348610589531	0.0028638906353275	0.0277797391626767
log_gene	hs_gene	comp919_c0	-28.9486237143373	-42.1348610589531	0.0028638906353275	0.0277797391626767
log_gene	hs_gene	comp1066_c0	-7.99193600507299	-2.76752262923734	0.00330472866551874	0.0305293981481255
log_gene	hs_gene	comp552_c0	-29.0113891553792	-42.0093301768693	0.0041656591059309	0.0367335393886634
log_gene	hs_gene	comp676_c0	-9.6284452522762	-4.13836032460565	0.00547933918345486	0.0443165685230488
log_gene	hs_gene	comp1008_c1	-3.96603620105641	-1.92680977749139	0.00548246208532563	0.0443165685230488
log_gene	hs_gene	comp958_c0	-29.0801409172542	-41.8718266531193	0.00614930629923133	0.0458832854634953
log_gene	hs_gene	comp992_c3	-29.0801409172542	-41.8718266531193	0.00614930629923133	0.0458832854634953
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
log_gene	plat_gene	comp1061_c0	-7.42567661308661	8.78289756992849	5.86483313518864e-14	1.10845346255065e-11
log_gene	plat_gene	comp1062_c0	-7.8377516953869	7.9587474053279	1.31852504189025e-11	1.24600616458628e-09
log_gene	plat_gene	comp941_c0	-6.07751480825218	4.83536498982262	1.7085827368746e-08	1.076407124231e-06
log_gene	plat_gene	comp1038_c0	-27.5663721160641	44.8993642554995	3.22963554697572e-08	1.52600279594603e-06
log_gene	plat_gene	comp630_c0	-7.51063911380777	5.44304756704386	4.37291033755704e-08	1.64359989553625e-06
log_gene	plat_gene	comp1069_c0	-27.6101035366893	44.8119014142492	5.21777744614682e-08	1.64359989553625e-06
log_gene	plat_gene	comp609_c0	-27.7978581042354	44.436392279157	4.65726979961044e-07	1.25746284589482e-05
log_gene	plat_gene	comp1001_c0	-27.8588533664247	44.3144017547784	8.75701578622086e-07	2.06884497949468e-05
log_gene	plat_gene	comp1023_c0	-8.78092330448912	6.07240418712347	1.21972719879504e-06	2.56142711746959e-05
log_gene	plat_gene	comp731_c1	-6.31448040241839	3.83536498982262	5.87927150609813e-06	0.000111118231465255
log_gene	plat_gene	comp708_c0	-7.36486189088584	4.26067082455529	9.39194889826143e-06	0.000161370758342855
log_gene	plat_gene	comp704_c1	-7.41244050740601	4.16551359151495	1.51410107388366e-05	0.000238470919136676
log_gene	plat_gene	comp616_c0	-8.39944290313954	4.83536498982262	3.23096056900313e-05	0.000469731959647378
log_gene	plat_gene	comp1032_c0	-28.2416207396062	43.5488670084154	4.53238757512601e-05	0.00055429359358286
log_gene	plat_gene	comp724_c1	-28.2416207396062	43.5488670084154	4.53238757512601e-05	0.00055429359358286
log_gene	plat_gene	comp614_c0	-28.094661726045	-43.8427850355377	4.6924325382676e-05	0.00055429359358286
log_gene	plat_gene	comp731_c0	-28.3588533664247	43.3144017547784	0.000125561101170857	0.00139594400713482
log_gene	plat_gene	comp715_c0	-9.34967506636409	4.93490066337353	0.000290613193839001	0.00305143853530951
log_gene	plat_gene	comp676_c0	-9.39944290313954	4.83536498982262	0.00039082463999038	0.00388767668200957
log_gene	plat_gene	comp505_c0	-28.5523649279793	42.9273786316691	0.000726851116172583	0.00686874304783091
log_gene	plat_gene	comp904_c1	-28.6101035366893	42.8119014142492	0.00100640923777743	0.00905768313999683
log_gene	plat_gene	comp986_c0	-28.6728689777312	42.6863705321653	0.00140897293288839	0.0103187109860937
log_gene	plat_gene	comp770_c0	-9.5734045548497	4.48744168640231	0.00140897293288839	0.0103187109860937
log_gene	plat_gene	comp1036_c0	-9.5734045548497	4.48744168640231	0.00140897293288839	0.0103187109860937
log_gene	plat_gene	comp687_c0	-9.5734045548497	4.48744168640231	0.00140897293288839	0.0103187109860937
log_gene	plat_gene	comp704_c3	-8.38667535708597	3.69097508048745	0.00141950521501818	0.0103187109860937
log_gene	plat_gene	comp628_c0	-8.21815786344719	3.19793506920733	0.00177410599369218	0.0124187419558452
log_gene	plat_gene	comp687_c2	-8.89944290313954	3.83536498982262	0.00229484211686659	0.0149560400030271
log_gene	plat_gene	comp1026_c0	-8.89944290313954	3.83536498982262	0.00229484211686659	0.0149560400030271
log_gene	plat_gene	comp961_c0	-7.74885813577926	2.96660952310087	0.00276276409315918	0.0174054137869028
log_gene	plat_gene	comp933_c0	-28.7416207396062	42.5488670084154	0.0028638906353275	0.0174604945186096
log_gene	plat_gene	comp889_c2	-28.8176222863287	42.3968639149703	0.0041656591059309	0.0231561638535571
log_gene	plat_gene	comp973_c0	-28.9165898209324	-42.198928845763	0.0041656591059309	0.0231561638535571
log_gene	plat_gene	comp1028_c0	-9.71815786344719	4.19793506920733	0.0041656591059309	0.0231561638535571
log_gene	plat_gene	comp747_c1	-8.34967506636409	2.93490066337353	0.00583707232015651	0.0315201905288451
log_gene	plat_gene	comp991_c0	-9.0734045548497	3.48744168640231	0.00744742835955295	0.039098998887653
log_gene	plat_gene	comp991_c2	-28.9025847870498	42.226938913528	0.00922395944884698	0.0425202033129776
log_gene	plat_gene	comp978_c0	-28.9025847870498	42.226938913528	0.00922395944884698	0.0425202033129776
log_gene	plat_gene	comp980_c0	-28.9025847870498	42.226938913528	0.00922395944884698	0.0425202033129776
log_gene	plat_gene	comp1088_c0	-29.0663699618618	-41.8993685639041	0.00922395944884698	0.0425202033129776
log_gene	plat_gene	comp1091_c0	-29.0663699618618	-41.8993685639041	0.00922395944884698	0.0425202033129776
#sampleA	sampleB	transcript	logConc	logFC	P.Value	adj.P.Val
hs_gene	plat_gene	comp614_c0	-27.3812198596603	-45.269668768307	8.33781120782055e-09	1.68423786397975e-06
hs_gene	plat_gene	comp1069_c0	-8.20114589744597	5.36958186091934	8.42045359421347e-07	5.89639062938871e-05
hs_gene	plat_gene	comp609_c0	-27.9539591729462	44.1241901417354	8.75701578622086e-07	5.89639062938871e-05
hs_gene	plat_gene	comp1001_c0	-28.0149544351355	44.0021996173567	1.71835781465466e-06	8.67770696400601e-05
hs_gene	plat_gene	comp1008_c1	-5.21813354054578	-3.59144217182266	4.27847866122195e-06	0.000172850537913367
hs_gene	plat_gene	comp704_c1	-7.60294729104421	3.92212288394811	2.49918364172709e-05	0.000841391826048121
hs_gene	plat_gene	comp1032_c0	-28.397721808317	43.2366648709938	7.4460653019927e-05	0.00188013148875316
hs_gene	plat_gene	comp724_c1	-28.397721808317	43.2366648709938	7.4460653019927e-05	0.00188013148875316
hs_gene	plat_gene	comp630_c0	-6.7639113384879	3.32518774156088	8.52143241038313e-05	0.00191258816321933
hs_gene	plat_gene	comp989_c2	-28.4347220990389	43.16266428955	9.63608450846118e-05	0.00194648907070916
hs_gene	plat_gene	comp710_c0	-28.5473180748309	-42.9374723379658	0.00016479894528675	0.00302630790435668
hs_gene	plat_gene	comp1023_c0	-7.81046604068364	3.50708538466927	0.000211308443188638	0.00355702546034208
hs_gene	plat_gene	comp704_c3	-8.86966339108475	4.03254687364176	0.000621965454637039	0.00966438629512937
hs_gene	plat_gene	comp505_c0	-28.7084659966901	42.6151764942475	0.00100640923777743	0.0145210475736457
hs_gene	plat_gene	comp992_c0	-7.83718567016437	-3.35833859364386	0.0013478488169123	0.0167419136731445
hs_gene	plat_gene	comp1041_c0	-28.827031779138	-42.3780449293518	0.00140897293288839	0.0167419136731445
hs_gene	plat_gene	comp904_c1	-9.70114589744597	4.36958186091934	0.00140897293288839	0.0167419136731445
hs_gene	plat_gene	comp986_c0	-28.828970046442	42.3741683947437	0.00199604498825856	0.0201600543814115
hs_gene	plat_gene	comp770_c0	-9.7639113384879	4.24405097883548	0.00199604498825856	0.0201600543814115
hs_gene	plat_gene	comp1036_c0	-9.7639113384879	4.24405097883548	0.00199604498825856	0.0201600543814115
hs_gene	plat_gene	comp1070_c0	-7.00070617930487	2.36958186091934	0.00401293006280636	0.0382483245180928
hs_gene	plat_gene	comp933_c0	-28.897721808317	42.2366648709938	0.0041656591059309	0.0382483245180928
